target_id	length	eff_length	est_counts	tpm
setA	1179	1180	291	6.20016
leuD	606	607	1555	64.4071
leuC	1401	1402	3741	67.086
leuB	1092	1093	3038	69.8811
leuA	1572	1573	3475	55.5416
leuL	87	88	241	68.8536
leuO	945	946	65	1.72749
yabR	45	46	0	0
ilvI	1725	1726	4135	60.2319
ilvH	492	493	991	50.5381
cra	1005	1006	3151	78.7485
mraZ	459	460	2571	140.519
rsmH	942	943	3626	96.6737
ftsL	366	367	700	47.9539
ftsI	1767	1768	2330	33.1334
murE	1488	1489	4389	74.1076
murF	1359	1360	6992	129.257
mraY	1083	1084	2975	69.0001
murD	1317	1318	3364	64.1701
ftsW	1245	1246	1953	39.4073
murG	1068	1069	2234	52.5409
murC	1476	1477	6641	113.043
ddlB	921	922	2642	72.0434
ftsQ	831	832	2096	63.3374
ftsA	1263	1264	3837	76.3197
ftsZ	1152	1153	20863	454.925
lpxC	918	919	35009	957.759
secM	513	514	5420	265.111
secA	2706	2707	20952	194.594
mutT	390	391	350	22.5052
yacG	198	199	204	25.7733
zapD	744	745	2675	90.2734
coaE	621	622	760	30.7196
yacM	45	46	2	1.09311
guaC	1044	1045	15036	361.75
hofC	1203	1204	135	2.81903
hofB	1386	1387	252	4.5679
ppdD	441	442	10	0.568813
nadC	894	895	1433	40.2546
ampD	552	553	463	21.0498
ampE	855	856	731	21.4702
aroP	1374	1375	1955	35.7467
pdhR	765	766	5268	172.906
aceE	2664	2665	189414	1786.93
aceF	1893	1894	59302	787.193
lpd	1425	1426	101568	1790.73
yacH	1854	1855	277	3.75429
acnB	2598	2599	139912	1353.45
yacL	363	364	391	27.0064
speD	795	796	11291	356.625
speE	867	868	15920	461.122
yacC	348	349	1158	83.421
cueO	1551	1552	3162	51.2227
gcd	2391	2392	11268	118.434
hpt	537	538	1278	59.7229
can	663	664	14039	531.57
yadG	927	928	1800	48.7659
yadH	771	772	980	31.9154
yadI	441	442	239	13.5946
yadE	1230	1231	306	6.24965
panD	381	382	6971	458.8
rpnC	903	904	196	5.45104
panC	852	853	5389	158.837
panB	795	796	7729	244.119
yadC	1239	1240	41	0.831293
yadK	597	598	7	0.294299
yadL	606	607	19	0.786968
yadM	570	571	23	1.01271
htrE	2598	2599	29	0.280533
yadV	741	742	12	0.406602
yadN	585	586	9	0.386133
folK	480	481	931	48.6628
pcnB	1398	1399	17685	317.819
gluQ	927	928	844	22.8658
dksA	456	457	6810	374.648
sfsA	705	706	734	26.1387
thpR	531	532	301	14.2248
hrpB	2430	2431	1694	17.5195
mrcB	2535	2536	4795	47.537
fhuA	2244	2245	21722	243.263
fhuC	798	799	1884	59.2825
fhuD	891	892	1806	50.9032
fhuB	1983	1984	2400	30.4132
hemL	1281	1282	8097	158.792
yadX	48	49	55	28.2201
clcA	1422	1423	390	6.89052
yadW	66	67	1	0.375247
erpA	345	346	1718	124.836
yadS	624	625	179	7.20054
btuF	801	802	994	31.1605
mtn	699	700	7262	260.826
dgt	1518	1519	1077	17.8258
degP	1425	1426	10569	186.34
cdaR	1158	1159	181	3.92633
yaeH	387	388	599	38.8139
yaeI	813	814	220	6.79501
dapD	825	826	15604	474.95
glnD	2673	2674	6320	59.4221
map	795	796	11905	376.018
tff	136	137	7205	1322.23
rpsB	726	727	88609	3064.33
tsf	852	853	63582	1874.03
pyrH	726	727	17417	602.325
frr	558	559	20601	926.549
dxr	1197	1198	2836	59.5171
uppS	762	763	5734	188.941
cdsA	858	859	1345	39.366
rseP	1353	1354	6211	115.328
bamA	2433	2434	42991	444.068
skp	486	487	19342	998.538
lpxD	1026	1027	26451	647.536
fabZ	456	457	6938.73	381.73
lpxA	789	790	16439	523.167
lpxB	1149	1150	2713	59.3122
rnhB	597	598	1173	49.3161
dnaE	3483	3484	10959	79.0833
accA	960	961	11512	301.175
ldcC	2142	2143	894	10.4884
yaeR	390	391	628	40.3808
tilS	1299	1300	1928	37.2869
rof	255	256	705	69.2375
yaeP	201	202	344	42.8153
yaeQ	546	547	592	27.2099
arfB	423	424	536	31.7827
nlpE	711	712	633	22.352
yaeF	825	826	134	4.07865
proS	1719	1720	32416	473.831
trmO	708	709	1580	56.0277
rcsF	405	406	1800	111.465
metQ	816	817	11249	346.166
metI	654	655	1481	56.8468
metN	1032	1033	2658	64.6914
gmhB	576	577	2460	107.189
rrsH	1542	1543	14563.9	237.304
ileV	77	78	490	157.941
alaV	76	77	306.629	100.118
rrlH	2904	2905	32673.2	282.772
rrfH	120	121	4.15385	0.863092
aspU	77	78	1018	328.129
dkgB	804	805	524	16.3654
yafC	915	916	396	10.8691
yafD	801	802	2165	67.8697
yafE	624	625	291	11.7059
mltD	1359	1360	10684	197.509
gloB	756	757	964	32.0165
yafS	723	724	479	16.6337
rnhA	468	469	422	22.622
dnaQ	732	733	1803	61.842
aspV	77	78	1018	328.129
yafT	786	787	110	3.51407
ykfM	480	481	19	0.993117
yafV	771	772	595	19.3772
ivy	474	475	1352	71.5608
fadE	2445	2446	810	8.3257
gmhA	579	580	6812	295.283
yafJ	768	769	2449	80.0672
ldtF	741	742	2133	72.2735
yafQ	279	280	412	36.994
dinJ	261	262	614	58.9195
yafL	750	751	59	1.97517
rayT	498	499	188	9.47217
dinB	1056	1057	618	14.6996
yafN	294	295	135	11.5055
yafO	399	400	52	3.2684
yafP	453	454	62	3.43343
pepD	1458	1459	16998	292.91
gpt	459	460	4775	260.98
frsA	1245	1246	2286	46.1265
insB9	504	505	1186.14	59.0524
insA9	276	277	153.854	13.9644
phoE	1056	1057	63	1.4985
proB	1104	1105	6390	145.389
proA	1254	1255	4767	95.4978
thrW	76	77	424.505	138.607
ykfI	342	343	213	15.6127
yafW	318	319	35	2.75848
ykfH	222	223	17	1.91662
ykfG	477	478	63	3.31364
yafX	459	460	186	10.1659
ykfF	240	241	156	16.2742
ykfB	468	469	2088	111.931
yafY	444	445	88	4.97181
yafZ	822	823	78.4259	2.39581
ykfA	864	865	205	5.9584
perR	894	895	199	5.59013
insI1	1152	1153	1316.72	28.7115
eyeA	75	76	64	21.1718
ykfC	1146	1147	2805	61.4839
insH1	981	982	4168.39	106.721
mmuP	1404	1405	172	3.07783
mmuM	933	934	195	5.24904
afuC	1047	1048	131	3.14269
insB2	504	505	93.4739	4.65362
insA2	276	277	230.482	20.9194
yagB	351	352	286	20.4275
yagA	1155	1156	25	0.543719
yagE	909	910	124	3.42588
yagF	1968	1969	409	5.22239
yagG	1383	1384	130	2.36156
yagH	1611	1612	328	5.11565
xynR	759	760	751	24.8438
argF	1005	1006	565	14.1203
argL	96	97	11	2.8511
ykgS	129	130	2	0.386793
insB3	504	505	93.4739	4.65362
insA3	276	277	230.482	20.9194
yagJ	732	733	122	4.18454
yagK	627	628	80	3.20275
yagL	699	700	30	1.0775
yagM	855	856	12	0.352452
ykgV	225	226	21	2.33616
yagN	441	442	1560	88.7349
intF	1401	1402	1051	18.8472
yagP	411	412	55	3.35628
paoD	957	958	92	2.41443
paoC	2199	2200	166	1.89704
paoB	957	958	59	1.54838
paoA	690	691	43	1.56453
yagU	615	616	2154	87.9138
ykgJ	330	331	117	8.88689
ecpE	711	712	126	4.44921
ecpD	1644	1645	295	4.50867
ecpC	2526	2527	186	1.85055
ecpB	669	670	46	1.72614
ecpA	588	589	291	12.4214
ecpR	591	592	12	0.509626
ykgL	228	229	11	1.20767
ykgO	141	142	0	0
ykgM	264	265	33	3.13083
ykgR	102	103	5	1.22046
insE1	300	301	196.2	16.3879
insF1	867	868	265.8	7.69888
rclC	594	595	20	0.845094
rclB	237	238	14	1.47891
rclA	1326	1327	73	1.38307
rclR	855	856	36	1.05736
ykgE	720	721	82	2.85937
ykgF	1428	1429	236	4.15214
ykgG	696	697	123	4.43674
ykgH	669	670	25	0.938118
betA	1671	1672	1732	26.0438
betB	1473	1474	2791	47.6052
betI	588	589	1889	80.6322
betT	2034	2035	1246	15.3938
yahV	75	76	2	0.66162
pdeL	1089	1090	226	5.21284
yahB	933	934	231	6.21809
yahC	498	499	13	0.65499
yahD	606	607	69	2.85794
yahE	864	865	11	0.319719
yahF	1548	1549	69	1.11993
yahG	1419	1420	126	2.23087
yahH	321	322	69074	5393.25
yahI	951	952	51	1.34687
yahJ	1383	1384	994	18.0569
yahK	1050	1051	899	21.5055
yahL	816	817	3	0.092319
yahM	246	247	110	11.1966
yahN	672	673	34	1.27015
yahO	276	277	342	31.0412
prpR	1587	1588	93	1.4724
prpB	891	892	31	0.873754
prpC	1170	1171	39	0.837336
prpD	1452	1453	72	1.24583
prpE	1887	1888	85	1.1319
codB	1260	1261	31329	624.631
codA	1284	1285	27415	536.386
cynR	900	901	371	10.3524
cynT	660	661	140	5.32499
cynS	471	472	113	6.01906
cynX	1155	1156	119	2.5881
lacA	612	613	35	1.43549
lacY	1254	1255	63	1.26209
lacZ	3075	3076	451	3.68623
lacI	1083	1084	1465	33.9782
mhpR	834	835	534	16.0786
mhpA	1665	1666	71	1.07146
mhpB	945	946	47	1.2491
mhpC	867	868	110	3.18614
mhpD	810	811	91	2.82106
mhpF	951	952	198	5.22902
mhpE	1014	1015	150	3.7155
mhpT	1212	1213	139	2.88102
yaiL	540	541	816	37.9215
frmB	834	835	724	21.7994
frmA	1110	1111	3426	77.5292
frmR	276	277	547	49.6478
yaiO	774	775	50	1.62204
insC1	366	367	284.167	19.467
insD1	906	907	352.833	9.78035
yaiP	1197	1198	68	1.42707
ykiC	120	121	1	0.207781
yaiS	558	559	7	0.314832
tauA	963	964	26	0.678092
tauB	768	769	30	0.980815
tauC	828	829	25	0.758189
tauD	852	853	116	3.41902
hemB	975	976	7405	190.751
ytiB	57	58	71	30.7767
insF2	867	868	265.8	7.69888
insE2	300	301	196.2	16.3879
iprA	624	625	6	0.241359
ampH	1158	1159	2030	44.0357
sbmA	1221	1222	944	19.422
yaiW	1095	1096	927	21.2648
yaiY	309	310	228	18.4912
yaiZ	213	214	117	13.7456
ddlA	1095	1096	6276	143.968
iraP	261	262	274	26.2931
phoA	1416	1417	643	11.4086
psiF	321	322	242	18.8952
dgcC	1116	1117	123	2.7685
proC	810	811	2585	80.1368
yaiI	459	460	633	34.597
aroL	525	526	1946	93.0142
yaiA	192	193	752	97.9609
aroM	678	679	556	20.5872
ppnP	285	286	1048	92.1271
ykiD	84	85	49	14.4934
rdgC	912	913	2143	59.0124
mak	909	910	416	11.4933
araJ	1185	1186	499	10.5781
sbcC	3147	3148	2701	21.5716
sbcD	1203	1204	1659	34.6427
phoB	690	691	270	9.82376
phoR	1296	1297	339	6.57131
brnQ	1320	1321	8863	168.683
proY	1374	1375	3048	55.732
malZ	1815	1816	982	13.5953
acpH	582	583	428	18.4573
queA	1071	1072	2999	70.3354
tgt	1128	1129	12419	276.557
yajC	333	334	10774	811.003
secD	1848	1849	15690	213.343
secF	972	973	8572	221.494
yajD	348	349	963	69.3734
tsx	885	886	13343	378.627
yajI	540	541	258	11.9899
nrdR	450	451	2307	128.607
ribD	1104	1105	4531	103.092
ribE	471	472	4541	241.881
nusB	420	421	5023	299.967
thiL	978	979	1883	48.357
pgpA	519	520	761	36.7937
yajO	975	976	1192	30.7057
dxs	1863	1864	8232	111.033
ispA	900	901	4369	121.913
xseB	243	244	1615	166.408
thiI	1449	1450	8788	152.375
yajL	591	592	1600	67.9501
panE	912	913	2435	67.0533
yajQ	492	493	1919	97.8634
yajR	1365	1366	1045	19.2335
cyoE	891	892	38461	1084.05
cyoD	330	331	12323	936.01
cyoC	615	616	32086	1309.56
cyoB	1992	1993	141302	1782.51
cyoA	948	949	64776	1716.09
ampG	1476	1477	4125	70.2159
yajG	579	580	9088	393.942
bolA	318	319	1048	82.5967
tig	1299	1300	63517	1228.4
clpP	624	625	10266	412.965
clpX	1275	1276	20441	402.757
lon	2355	2356	11663	124.459
hupB	273	274	18043	1655.58
ppiD	1872	1873	11080	148.728
ybaV	372	373	88	5.93152
fadM	399	400	89	5.594
queC	696	697	910	32.8247
ybaE	1701	1702	336	4.96331
cof	819	820	517	15.8514
decR	459	460	360	19.676
mdlA	1773	1774	621	8.80096
mdlB	1782	1783	558	7.86819
glnK	339	340	1741	128.74
amtB	1287	1288	3305	64.5131
tesB	861	862	1548	45.1498
ybaY	573	574	2694	117.999
ybaZ	390	391	226	14.5319
ffs	114	115	28	6.12142
ybaA	354	355	49	3.47024
pdeB	1551	1552	514	8.32652
ylaC	471	472	3133	166.882
maa	552	553	524	23.8231
hha	219	220	1083	123.765
tomB	375	376	553	36.9768
acrB	3150	3151	24790	197.797
acrA	1194	1195	6153	129.453
acrR	648	649	1347	52.1813
mscK	3363	3364	3546	26.5018
ybaM	162	163	91	14.0361
priC	528	529	615	29.2288
ybaN	378	379	1663	110.318
apt	552	553	6217	282.649
dnaX	1932	1933	6887	89.5757
ybaB	330	331	5808	441.155
recR	606	607	5360	222.008
htpG	1875	1876	6111	81.8977
adk	645	646	18156	706.61
hemH	963	964	732	19.0909
aes	960	961	134	3.50569
gsk	1305	1306	3219	61.9683
ybaL	1677	1678	3649	54.6731
fsr	1221	1222	624	12.8382
ushA	1653	1654	1973	29.9905
ybaK	480	481	576	30.1071
chiX	84	85	2	0.591566
ybaP	795	796	1156	36.5121
ybaQ	342	343	1124	82.3881
copA	2505	2506	19894	199.587
glsA	933	934	244	6.56803
ybaT	1293	1294	251	4.87676
cueR	408	409	697	42.8451
ybbJ	459	460	297	16.2327
qmcA	918	919	939	25.6887
fetA	678	679	577	21.3648
fetB	780	781	170	5.47255
cnoX	855	856	3643	106.998
ybbO	810	811	1404	43.525
tesA	627	628	1036	41.4756
ybbA	687	688	339	12.3881
ybbP	2415	2416	607	6.31661
rhsD	4281	4282	384	2.25464
ybbC	369	370	4	0.271801
ylbG	372	373	153	10.3128
selU	1095	1096	725	16.631
allS	927	928	57	1.54425
allA	483	484	64	3.3245
allR	816	817	3408	104.874
gcl	1782	1783	105	1.48057
hyi	777	778	18	0.581681
glxR	879	880	30	0.857098
ybbW	1455	1456	10	0.172676
allB	1362	1363	55	1.01452
ybbY	1302	1303	72	1.38925
glxK	1146	1147	97	2.12618
allE	786	787	263	8.40182
allC	1236	1237	133	2.70317
allD	1050	1051	24	0.574117
fdrA	1668	1669	30	0.451915
ylbE	1260	1261	67	1.33583
ylbF	816	817	69	2.12334
ybcF	894	895	449	12.6129
purK	1068	1069	14846	349.159
purE	510	511	10025	493.237
lpxH	723	724	2620	90.9819
ppiB	495	496	9856	499.587
cysS	1386	1387	8272	149.943
ybcI	522	523	76	3.65346
ybcJ	213	214	269	31.6032
folD	867	868	12390	358.875
sfmA	543	544	11	0.508377
sfmC	693	694	8	0.289816
sfmD	2604	2605	47	0.45361
sfmH	984	985	10	0.255244
sfmF	516	517	10	0.486297
fimZ	633	634	8	0.317244
argU	77	78	71	22.8853
intD	1164	1165	952	20.5449
insE3	300	301	196.2	16.3879
insF3	867	868	265.8	7.69888
emrE	333	334	287	21.6037
ylcJ	150	151	0	0
ybcK	1527	1528	31	0.510071
ybcL	552	553	56	2.54598
ybcM	798	799	132	4.15355
ylcH	102	103	6	1.46456
ybcN	456	457	8	0.440115
ninE	171	172	0	0
ybcO	291	292	7	0.602708
rusA	363	364	1	0.0690702
ylcG	141	142	0	0
quuD	384	385	12	0.783633
insH2	981	982	4168.39	106.721
essD	216	217	28	3.24407
rrrD	498	499	110	5.54223
rzpD	462	463	210	11.4033
rzoD	183	184	0	0
borD	294	295	5075	432.52
ybcV	411	412	11	0.671255
ybcW	207	208	58	7.01063
ylcI	195	196	22	2.82201
nohD	546	547	32.1761	1.4789
tfaD	564	565	18	0.80097
tfaX	186	187	12	1.61336
appY	750	751	150	5.02162
ompT	954	955	73196	1926.97
envY	762	763	86	2.83378
ybcH	891	892	165	4.65062
nfrA	2973	2974	973	8.22553
nfrB	2238	2239	308	3.45851
cusS	1443	1444	1086	18.9084
cusR	684	685	1265	46.4293
cusC	1374	1375	2687	49.1312
cusF	333	334	902	67.8972
cusB	1224	1225	1865	38.2767
cusA	3144	3145	1614	12.9025
pheP	1377	1378	2558	46.6706
ybdG	1248	1249	1656	33.3342
nfsB	654	655	4332	166.28
ybdF	369	370	375	25.4813
ybdJ	249	250	237	23.8342
ybdK	1119	1120	203	4.55691
sokE	59	60	11	4.60928
hokE	153	154	2	0.326514
insL2	1113	1114	2024	45.6791
entD	621	622	1758	71.0592
fepA	2241	2242	50436	565.584
fes	1203	1204	8121	169.58
ybdZ	219	220	1363	155.763
entF	3882	3883	35132	227.472
fepE	1134	1135	143	3.16761
fepC	816	817	1293	39.7895
fepG	993	994	1228	31.0602
fepD	1005	1006	2741	68.502
entS	1251	1252	3885	78.0151
fepB	957	958	4503	118.176
entC	1176	1177	28968	618.777
entE	1611	1612	19909	310.511
entB	858	859	17871	523.056
entA	747	748	11188	376.048
entH	414	415	5227	316.662
cstA	2106	2107	3210	38.303
ybdD	198	199	264	33.3536
hcxA	1089	1090	622	14.3468
ybdL	1161	1162	351	7.59439
ybdM	630	631	88	3.50627
ybdN	1221	1222	41	0.843538
ybdO	903	904	41	1.14027
dsbG	747	748	808	27.1583
ahpC	564	565	48960	2178.64
ahpF	1566	1567	6915	110.947
uspG	429	430	2379	139.097
ybdR	1239	1240	233	4.72418
yldA	90	91	3	0.828842
rnk	411	412	1652	100.81
rna	807	808	2502	77.8517
citT	1464	1465	88	1.51021
citG	879	880	36	1.02852
citX	552	553	22	1.00021
citF	1533	1534	43	0.70475
citE	909	910	36	0.994611
citD	297	298	9	0.759309
citC	1059	1060	16	0.379495
dpiB	1659	1660	239.327	3.62473
dpiA	681	682	202.673	7.47144
dcuC	1386	1387	506	9.17204
pagP	561	562	60	2.68415
cspE	210	211	35106	4183.03
crcB	384	385	668	43.6222
tatE	204	205	303	37.1604
lipA	966	967	11054	287.399
ybeF	954	955	161	4.23852
lipB	642	643	388	15.171
ybeD	264	265	1105	104.836
dacA	1212	1213	10891	225.735
rlpA	1089	1090	7608	175.483
mrdB	1113	1114	2343	52.8785
mrdA	1902	1903	3362	44.4172
rlmH	468	469	1699	91.0778
rsfS	318	319	2369	186.71
cobC	612	613	576	23.624
nadD	642	643	1211	47.3506
holA	1032	1033	2512	61.138
lptE	582	583	5905	254.65
leuS	2583	2584	27823	270.71
ybeL	483	484	448	23.2715
ybeQ	978	979	97	2.49104
ybeR	708	709	4	0.141842
djlB	1428	1429	38	0.668565
ybeT	555	556	3	0.135656
ybeU	708	709	15	0.531909
djlC	1452	1453	63	1.0901
hscC	1671	1672	124	1.86456
rihA	936	937	1573	42.2067
gltL	726	727	1558	53.8797
gltK	675	676	1748	65.011
gltJ	741	742	1239	41.9816
sroC	163	164	120	18.3963
gltI	909	910	8837	244.149
insH3	981	982	4168.39	106.721
lnt	1539	1540	4841	79.0326
ybeX	879	880	9819	280.528
ybeY	468	469	1807	96.8673
ybeZ	1041	1042	6040	145.734
miaB	1425	1426	9782	172.465
ubiF	1176	1177	2079	44.4089
glnX	75	76	1775.8	587.451
glnV	75	76	1775.8	587.451
metU	77	78	177.861	57.3294
glnW	75	76	4194.2	1387.48
glnU	75	76	4194.2	1387.48
leuW	85	86	2024	591.704
metT	77	78	177.861	57.3294
asnB	1665	1666	15621	235.736
umpH	753	754	4370	145.714
nagC	1221	1222	4152	85.4237
nagA	1149	1150	3397	74.266
nagB	801	802	2509	78.6536
nagE	1947	1948	5156	66.5451
glnS	1665	1666	26702	402.959
chiP	1407	1408	193	3.44625
chiQ	327	328	74	5.67218
fur	447	448	5571	312.642
uof	87	88	747	213.418
fldA	531	532	7100	335.536
ybfE	294	295	702	59.8284
ybfF	765	766	1218	39.977
seqA	546	547	5019	230.686
pgm	1641	1642	15120	231.511
ybfP	495	496	62	3.14269
potE	1320	1321	130	2.47419
speF	2199	2200	111	1.26851
speFL	105	106	2	0.474369
kdpE	678	679	214	7.92385
kdpD	2685	2686	1060	9.92183
kdpC	573	574	80	3.50405
kdpB	2049	2050	124	1.52076
kdpA	1674	1675	30	0.450296
kdpF	90	91	2	0.552562
ybfA	207	208	476	57.5355
rhsC	4194	4195	738.273	4.42463
ybfB	327	328	13	0.996464
ybfC	570	571	30	1.32092
ybfQ	255	256	4.1735	0.409876
ybfD	762	763	11.2952	0.372189
ybgA	510	511	252	12.3986
phr	1419	1420	329	5.82505
dtpD	1482	1483	609	10.3245
ybgI	744	745	2557	86.2912
pxpB	657	658	2212	84.5184
pxpC	933	934	2855	76.8513
pxpA	735	736	1774	60.5993
nei	792	793	953	30.2142
abrB	1047	1048	701	16.817
ybgO	1062	1063	119	2.81453
ybgP	729	730	26	0.895453
ybgQ	2448	2449	68	0.698091
ybgD	567	568	6	0.26558
gltA	1284	1285	39150	765.986
ybgV	33	34	103	76.1641
ybgU	108	109	14	3.22919
sdhC	390	391	9029	580.571
sdhD	348	349	5766	415.376
sdhA	1767	1768	29149	414.509
sdhB	717	718	11837	414.485
sucA	2802	2803	99329	890.933
sucB	1218	1219	56173	1158.55
sucC	1167	1168	42825	921.821
sucD	870	871	27025	780.081
sdhX	101	102	0	0
mngR	723	724	380	13.1958
mngA	1977	1978	30	0.381318
mngB	2634	2635	398	3.79747
cydA	1569	1570	20005	320.355
cydB	1140	1141	11846	261.023
cydX	114	115	41	8.96351
ybgE	294	295	610	51.9876
ybgC	405	406	1514	93.7545
tolQ	693	694	4164	150.849
tolR	429	430	758	44.3193
tolA	1266	1267	2807	55.7003
tolB	1293	1294	19758	383.885
pal	522	523	35223	1693.23
cpoB	792	793	16312	517.161
lysT	76	77	8054.17	2629.8
valT	76	77	5546.2	1810.91
lysW	76	77	8054.17	2629.8
valZ	76	77	5546.2	1810.91
lysY	76	77	8054.17	2629.8
lysZ	76	77	8054.17	2629.8
lysQ	76	77	8054.17	2629.8
nadA	1044	1045	11600	279.083
pnuC	720	721	5716	199.319
zitB	942	943	1413	37.6723
ybgS	381	382	233	15.335
aroG	1053	1054	13722	327.317
gpmA	753	754	21369	712.533
galM	1041	1042	8392	202.484
galK	1149	1150	4871	106.491
galT	1047	1048	1835	44.0217
galE	1017	1018	4175	103.11
modF	1473	1474	1772	30.2244
modE	789	790	998	31.7611
acrZ	150	151	130	21.645
modA	774	775	4837	156.916
modB	690	691	978	35.5838
modC	1059	1060	2432	57.6833
ybhA	819	820	1762	54.0237
pgl	996	997	4430	111.712
ybhD	954	955	42	1.1057
ybhH	1053	1054	3	0.0715604
ybhI	1434	1435	17	0.297844
ybhJ	2262	2263	301	3.34406
ybhC	1284	1285	8087	158.225
ybhB	477	478	1793	94.3071
bioA	1290	1291	2425	47.2256
bioB	1041	1042	3255	78.5372
bioF	1155	1156	2796	60.8095
bioC	756	757	1947	64.6639
bioD	678	679	1472	54.5042
uvrB	2022	2023	3083	38.3151
ybhK	909	910	1192	32.9327
moaA	990	991	3293	83.543
moaB	513	514	934	45.6852
moaC	486	487	448	23.1282
moaD	246	247	274	27.8898
moaE	453	454	526	29.1288
ybhL	705	706	4162	148.214
ybhM	714	715	22	0.773586
ybhN	957	958	33	0.866045
clsB	1242	1243	177	3.58009
ybhP	762	763	173	5.70051
ybhQ	411	412	509	31.0608
ybhR	1107	1108	444	10.0748
ybhS	1134	1135	325	7.19912
ybhF	1737	1738	963	13.9306
ybhG	999	1000	880	22.1246
cecR	672	673	1020	38.1046
rhlE	1365	1366	4434	81.6088
ybiA	483	484	154	7.99959
dinG	2151	2152	1508	17.6178
ybiB	963	964	1311	34.1915
hcxB	1086	1087	3567	82.5022
ybiE	60	61	251	103.451
ybiJ	261	262	688	66.0206
ybiI	267	268	369	34.6165
ybiX	678	679	7621	282.185
fiu	2283	2284	89160	981.445
mcbA	261	262	75	7.19701
rlmF	927	928	1581	42.8328
ybiO	2226	2227	327	3.69164
glnQ	723	724	5343	185.54
glnP	660	661	4392	167.052
glnH	747	748	10367	348.453
dps	504	505	5959	296.67
rhtA	888	889	252	7.12674
yliM	66	67	3374	1266.08
ompX	516	517	49940	2428.57
opgE	1584	1585	791	12.547
rybA	340	341	2030	149.67
mntS	129	130	0	0
mntR	468	469	562	30.127
ybiR	1119	1120	644	14.4564
ldtB	921	922	7435	202.741
ybiT	1593	1594	5738.52	90.5114
ybiU	1266	1267	515	10.2193
ybiV	816	817	763	23.4798
ybiW	2433	2434	228	2.35508
ybiY	900	901	53	1.47891
fsaA	663	664	298	11.2834
moeB	750	751	1392	46.6006
moeA	1236	1237	2248	45.6897
iaaA	966	967	2341	60.8649
gsiA	1872	1873	4259	57.1692
gsiB	1539	1540	2609	42.5937
gsiC	921	922	534	14.5614
gsiD	912	913	691	19.0283
pdeI	2349	2350	493	5.27438
dgcI	1329	1330	446	8.43093
rimO	1326	1327	4351	82.4347
bssR	384	385	735	47.9975
yliI	1116	1117	180	4.05146
gstB	627	628	2773	111.015
dacC	1203	1204	1211	25.2877
deoR	759	760	1361	45.0232
ybjG	597	598	1264	53.142
mdfA	1233	1234	617	12.5708
ybjH	285	286	197	17.3178
ybjI	816	817	721	22.1873
ybjJ	1209	1210	631	13.111
rcdA	537	538	163	7.61724
rybB	79	80	20	6.28539
ybjL	1686	1687	1751	26.0954
ybjM	378	379	54	3.58217
grxA	258	259	63	6.11551
ybjC	288	289	607	52.806
nfsA	723	724	1338	46.4633
rimK	903	904	843	23.4451
ybjN	477	478	1628	85.6286
potF	1113	1114	3144	70.9561
potG	1134	1135	1143	25.3188
potH	954	955	635	16.7172
potI	846	847	503	14.9306
ybjO	489	490	294	15.0849
