target_id	length	eff_length	est_counts	tpm
yafX	459	460	916	32.2374
ykfF	240	241	681	45.7459
ykfB	468	469	974	33.6208
yafY	444	445	171	6.22097
yafZ	822	823	226	4.4456
ykfA	864	865	954	17.8548
perR	894	895	543	9.82197
insI1	1152	1153	776.047	10.8963
eyeA	75	76	115	24.4966
ykfC	1146	1147	4987	70.3879
insH1	981	982	10772.2	177.589
mmuP	1404	1405	445	5.1275
mmuM	933	934	512	8.87452
afuC	1047	1048	538	8.3108
insB2	504	505	318.15	10.1991
insA2	276	277	351.25	20.5286
yagB	351	352	415	19.0866
yagA	1155	1156	69	0.966303
yagE	909	910	64	1.13857
yagF	1968	1969	450	3.69989
yagG	1383	1384	342	4.00048
yagH	1611	1612	1021	10.2538
xynR	759	760	2053	43.7318
argF	1005	1006	342.517	5.51197
argL	96	97	7	1.16828
ykgS	129	130	2	0.249063
insB3	504	505	318.15	10.1991
insA3	276	277	351.25	20.5286
yagJ	732	733	400	8.83442
yagK	627	628	345	8.89368
yagL	699	700	123	2.84465
yagM	855	856	31	0.586287
ykgV	225	226	60	4.29798
yagN	441	442	2037	74.6089
intF	1401	1402	1443	16.6625
yagP	411	412	530	20.8258
paoD	957	958	964	16.2905
paoC	2199	2200	363	2.6712
paoB	957	958	140	2.36584
paoA	690	691	153	3.58456
yagU	615	616	1253	32.93
ykgJ	330	331	461	22.5473
ecpE	711	712	382	8.68571
ecpD	1644	1645	656	6.45595
ecpC	2526	2527	757	4.84968
ecpB	669	670	457	11.0424
ecpA	588	589	2223	61.1007
ecpR	591	592	280	7.65699
ykgL	228	229	79	5.58488
ykgO	141	142	8	0.912061
ykgM	264	265	16	0.977454
ykgR	102	103	3	0.471526
insE1	300	301	326.8	17.5767
insF1	867	868	1022	19.0613
rclC	594	595	94	2.5576
rclB	237	238	12	0.816256
rclA	1326	1327	299	3.64773
rclR	855	856	82	1.55082
ykgE	720	721	116	2.60462
ykgF	1428	1429	481	5.44923
ykgG	696	697	343	7.96679
ykgH	669	670	50	1.20814
betA	1671	1672	1326	12.8389
betB	1473	1474	2531	27.7982
betI	588	589	2626	72.1774
betT	2034	2035	2896	23.0386
yahV	75	76	2	0.426028
pdeL	1089	1090	1274	18.9219
yahB	933	934	630	10.9198
yahC	498	499	45	1.45994
yahD	606	607	34	0.906802
yahE	864	865	37	0.692481
yahF	1548	1549	143	1.49454
yahG	1419	1420	290	3.30622
yahH	321	322	36421	1831.13
yahI	951	952	134	2.27871
yahJ	1383	1384	935	10.937
yahK	1050	1051	2478	38.1699
yahL	816	817	50	0.990763
yahM	246	247	263	17.2378
yahN	672	673	119	2.86256
yahO	276	277	2290	133.837
prpR	1587	1588	332	3.38462
prpB	891	892	349	6.33407
prpC	1170	1171	102	1.41015
prpD	1452	1453	127	1.41501
prpE	1887	1888	293	2.51239
codB	1260	1261	3960	50.8396
codA	1284	1285	2429	30.6018
cynR	900	901	499	8.96598
cynT	660	661	265	6.49032
cynS	471	472	166	5.69362
cynX	1155	1156	256	3.58512
lacA	612	613	118	3.11633
lacY	1254	1255	341	4.39878
lacZ	3075	3076	330	1.7368
lacI	1083	1084	2000	29.8691
mhpR	834	835	678	13.1451
mhpA	1665	1666	160	1.55477
mhpB	945	946	84	1.43751
mhpC	867	868	204	3.80481
mhpD	810	811	81	1.61691
mhpF	951	952	154	2.61882
mhpE	1014	1015	134	2.13728
mhpT	1212	1213	412	5.49868
yaiL	540	541	1205	36.0588
frmB	834	835	1388	26.9107
frmA	1110	1111	9504	138.489
frmR	276	277	1804	105.434
yaiO	774	775	218	4.55383
insC1	366	367	422.167	18.6226
insD1	906	907	831.667	14.8444
yaiP	1197	1198	277	3.74322
ykiC	120	121	1	0.133794
yaiS	558	559	7	0.202725
tauA	963	964	88	1.47784
tauB	768	769	73	1.5368
tauC	828	829	51	0.99595
tauD	852	853	287	5.44697
hemB	975	976	5791	96.0563
ytiB	57	58	228	63.6398
insF2	867	868	1022	19.0613
insE2	300	301	326.8	17.5767
iprA	624	625	89	2.30532
ampH	1158	1159	3959	55.2999
sbmA	1221	1222	1754	23.237
yaiW	1095	1096	1834	27.0901
yaiY	309	310	366	19.1136
yaiZ	213	214	422	31.9242
ddlA	1095	1096	4572	67.5333
iraP	261	262	834	51.5332
phoA	1416	1417	13086	149.506
psiF	321	322	1925	96.7825
dgcC	1116	1117	340	4.92774
proC	810	811	2260	45.1138
yaiI	459	460	693	24.3892
aroL	525	526	1642	50.537
yaiA	192	193	1448	121.46
aroM	678	679	1011	24.1048
ppnP	285	286	1714	97.0212
ykiD	84	85	213	40.5679
rdgC	912	913	2505	44.418
mak	909	910	519	9.23311
araJ	1185	1186	1103	15.0561
sbcC	3147	3148	2140	11.0053
sbcD	1203	1204	1511	20.317
phoB	690	691	5161	120.914
phoR	1296	1297	4492	56.0689
brnQ	1320	1321	6162	75.5163
proY	1374	1375	2601	30.6238
malZ	1815	1816	1246	11.1077
acpH	582	583	628	17.4387
queA	1071	1072	2087	31.5173
tgt	1128	1129	6371	91.3557
yajC	333	334	5729	277.686
secD	1848	1849	10691	93.6059
secF	972	973	5644	93.9066
yajD	348	349	1224	56.7777
tsx	885	886	4461	81.5118
yajI	540	541	413	12.3588
nrdR	450	451	3874	139.061
ribD	1104	1105	6492	95.1126
ribE	471	472	4642	159.215
nusB	420	421	3461	133.089
thiL	978	979	1632	26.9873
pgpA	519	520	1092	33.9971
yajO	975	976	1898	31.4824
dxs	1863	1864	6910	60.0142
ispA	900	901	3329	59.8151
xseB	243	244	1371	90.964
thiI	1449	1450	3701	41.3212
yajL	591	592	1407	38.4764
panE	912	913	1731	30.6936
yajQ	492	493	2496	81.9633
yajR	1365	1366	1308	15.5017
cyoE	891	892	14271	259.007
cyoD	330	331	3280	160.423
cyoC	615	616	8082	212.403
cyoB	1992	1993	38221	310.468
cyoA	948	949	21406	365.167
ampG	1476	1477	2498	27.38
yajG	579	580	7386	206.159
bolA	318	319	4597	233.295
tig	1299	1300	34798	433.344
clpP	624	625	11096	287.414
clpX	1275	1276	25400	322.259
lon	2355	2356	11316	77.757
hupB	273	274	12290	726.145
ppiD	1872	1873	11568	99.9868
ybaV	372	373	182	7.89923
fadM	399	400	233	9.43014
queC	696	697	1167	27.1057
ybaE	1701	1702	396	3.76667
cof	819	820	2694	53.187
decR	459	460	815	28.6828
mdlA	1773	1774	1697	15.4864
mdlB	1782	1783	1337	12.1395
glnK	339	340	57	2.71405
amtB	1287	1288	469	5.89493
tesB	861	862	1717	32.2467
ybaY	573	574	7012	197.766
ybaZ	390	391	422	17.4726
ffs	114	115	113	15.9075
ybaA	354	355	313	14.2737
pdeB	1551	1552	1023	10.671
ylaC	471	472	4477	153.556
maa	552	553	977	28.6017
hha	219	220	1656	121.86
tomB	375	376	1435	61.7854
acrB	3150	3151	18309	94.0672
acrA	1194	1195	7428	100.63
acrR	648	649	2126	53.0323
mscK	3363	3364	9444	45.4488
ybaM	162	163	155	15.3945
priC	528	529	893	27.3286
ybaN	378	379	1105	47.2003
apt	552	553	3482	101.936
dnaX	1932	1933	6532	54.7062
ybaB	330	331	3186	155.826
recR	606	607	3099	82.6523
htpG	1875	1876	7697	66.4218
adk	645	646	6630	166.151
hemH	963	964	902	15.1479
aes	960	961	323	5.44128
gsk	1305	1306	1968	24.3952
ybaL	1677	1678	3638	35.0988
fsr	1221	1222	1280	16.9575
ushA	1653	1654	3020	29.5593
ybaK	480	481	1434	48.2643
chiX	84	85	31	5.90425
ybaP	795	796	5989	121.804
ybaQ	342	343	1911	90.1963
copA	2505	2506	26320	170.031
glsA	933	934	3534	61.255
ybaT	1293	1294	2808	35.1305
cueR	408	409	1530	60.5606
ybbJ	459	460	837	29.4571
qmcA	918	919	1764	31.0746
fetA	678	679	1542	36.7652
fetB	780	781	510	10.5716
cnoX	855	856	3006	56.8509
ybbO	810	811	966	19.2832
tesA	627	628	1110	28.6144
ybbA	687	688	799	18.801
ybbP	2415	2416	1145	7.67239
rhsD	4281	4282	1161	4.38942
ybbC	369	370	26	1.13761
ylbG	372	373	350	15.1908
selU	1095	1096	1116	16.4845
allS	927	928	107	1.86663
allA	483	484	186	6.22142
allR	816	817	3391	67.1936
gcl	1782	1783	153	1.38919
hyi	777	778	24	0.499406
glxR	879	880	89	1.6373
ybbW	1455	1456	37	0.411398
allB	1362	1363	289	3.43261
ybbY	1302	1303	285	3.54097
glxK	1146	1147	287	4.0508
allE	786	787	437	8.98936
allC	1236	1237	210	2.74835
allD	1050	1051	73	1.12446
fdrA	1668	1669	81	0.785689
ylbE	1260	1261	170	2.18251
ylbF	816	817	151	2.99211
ybcF	894	895	389	7.03637
purK	1068	1069	4241	64.2263
purE	510	511	3498	110.821
lpxH	723	724	1598	35.7322
ppiB	495	496	6822	222.665
cysS	1386	1387	5430	63.379
ybcI	522	523	210	6.50039
ybcJ	213	214	352	26.6288
folD	867	868	7048	131.452
sfmA	543	544	34	1.01182
sfmC	693	694	68	1.58625
sfmD	2604	2605	476	2.95816
sfmH	984	985	51	0.838216
sfmF	516	517	228	7.13948
fimZ	633	634	59	1.50655
argU	77	78	252.001	52.3033
intD	1164	1165	2007	27.8897
insE3	300	301	326.8	17.5767
insF3	867	868	1022	19.0613
emrE	333	334	541	26.2224
ylcJ	150	151	9	0.964912
ybcK	1527	1528	66	0.699266
ybcL	552	553	125	3.65937
ybcM	798	799	583	11.8126
ylcH	102	103	46	7.23007
ybcN	456	457	70	2.47973
ninE	171	172	2	0.188245
ybcO	291	292	12	0.665304
rusA	363	364	17	0.756083
ylcG	141	142	2	0.228015
quuD	384	385	29	1.21944
insH2	981	982	10772.2	177.589
essD	216	217	94	7.01278
rrrD	498	499	343	11.128
rzpD	462	463	212	7.41271
rzoD	183	184	0	0
borD	294	295	1506	82.6466
ybcV	411	412	24	0.943053
ybcW	207	208	157	12.2196
ylcI	195	196	71.5419	5.90917
nohD	546	547	136.348	4.03537
tfaD	564	565	126	3.61031
tfaX	186	187	59	5.10778
appY	750	751	289	6.22988
ompT	954	955	55205	935.83
envY	762	763	264	5.60146
ybcH	891	892	263	4.77324
nfrA	2973	2974	1355	7.37599
nfrB	2238	2239	758	5.48071
cusS	1443	1444	1273	14.2719
cusR	684	685	2122	50.1507
cusC	1374	1375	2639	31.0712
cusF	333	334	419	20.309
cusB	1224	1225	1268	16.7573
cusA	3144	3145	1562	8.04049
pheP	1377	1378	3087	36.2668
ybdG	1248	1249	1977	25.6251
nfsB	654	655	3045	75.2607
ybdF	369	370	433	18.9456
ybdJ	249	250	467	30.2412
ybdK	1119	1120	664	9.59781
sokE	59	60	55	14.84
hokE	153	154	17	1.78711
insL2	1113	1114	2087.67	30.3388
entD	621	622	382	9.94249
fepA	2241	2242	3439	24.8324
fes	1203	1204	515	6.92473
ybdZ	219	220	70	5.15107
entF	3882	3883	1769	7.37535
fepE	1134	1135	49	0.698912
fepC	816	817	317	6.28144
fepG	993	994	535	8.71344
fepD	1005	1006	2581	41.5348
entS	1251	1252	1959	25.331
fepB	957	958	1523	25.7369
entC	1176	1177	2506	34.4688
entE	1611	1612	1260	12.654
entB	858	859	1201	22.6346
entA	747	748	1018	22.0327
entH	414	415	406	15.838
cstA	2106	2107	1752	13.4614
ybdD	198	199	279	22.6972
hcxA	1089	1090	1217	18.0753
ybdL	1161	1162	305	4.24928
ybdM	630	631	105	2.6939
ybdN	1221	1222	103	1.36455
ybdO	903	904	80	1.43266
dsbG	747	748	693	14.9987
ahpC	564	565	44144	1264.87
ahpF	1566	1567	3866	39.9406
uspG	429	430	7120	268.061
ybdR	1239	1240	977	12.7554
yldA	90	91	24	4.26965
rnk	411	412	994	39.0581
rna	807	808	1716	34.3817
citT	1464	1465	884	9.7687
citG	879	880	146	2.68591
citX	552	553	76	2.2249
citF	1533	1534	122	1.28753
citE	909	910	74	1.31647
citD	297	298	27	1.4668
citC	1059	1060	101	1.54254
dpiB	1659	1660	550	5.36385
dpiA	681	682	347	8.23696
dcuC	1386	1387	464	5.41581
pagP	561	562	1193	34.3658
cspE	210	211	14539	1115.51
crcB	384	385	894	37.5923
tatE	204	205	1139	89.9481
lipA	966	967	11809	197.701
ybeF	954	955	514	8.71328
lipB	642	643	627	15.7862
ybeD	264	265	2152	131.468
dacA	1212	1213	6724	89.7406
rlpA	1089	1090	5507	81.792
mrdB	1113	1114	1586	23.0484
mrdA	1902	1903	2414	20.5362
rlmH	468	469	1445	49.8789
rsfS	318	319	2036	103.326
cobC	612	613	1562	41.2518
nadD	642	643	3803	95.7497
holA	1032	1033	4814	75.4445
lptE	582	583	4462	123.903
leuS	2583	2584	22355	140.057
ybeL	483	484	1827	61.1104
ybeQ	978	979	383	6.33342
ybeR	708	709	39	0.890513
djlB	1428	1429	112	1.26884
ybeT	555	556	29	0.844394
ybeU	708	709	57	1.30152
djlC	1452	1453	210	2.33978
hscC	1671	1672	275	2.66268
rihA	936	937	448	7.74035
gltL	726	727	916	20.3978
gltK	675	676	859	20.5716
gltJ	741	742	746	16.2763
sroC	163	164	225	22.2106
gltI	909	910	6489	115.441
insH3	981	982	10772.2	177.589
lnt	1539	1540	3056	32.1259
ybeX	879	880	7238	133.155
ybeY	468	469	1501	51.8119
ybeZ	1041	1042	4808	74.6997
miaB	1425	1426	8334	94.6141
ubiF	1176	1177	3578	49.2137
glnX	75	76	9531.79	2030.41
glnV	75	76	9531.79	2030.41
metU	77	78	1420.25	294.776
glnW	75	76	32566.7	6937.17
glnU	75	76	32566.7	6937.17
leuW	85	86	28341	5335.05
metT	77	78	1420.25	294.776
asnB	1665	1666	2008	19.5124
umpH	753	754	2798	60.0756
nagC	1221	1222	3976	52.6741
nagA	1149	1150	10279	144.702
nagB	801	802	3055	61.6679
nagE	1947	1948	2514	20.8929
glnS	1665	1666	13202	128.288
chiP	1407	1408	294	3.38039
chiQ	327	328	151	7.4529
fur	447	448	6687	241.644
uof	87	88	1146	210.826
fldA	531	532	6263	190.587
ybfE	294	295	937	51.4209
ybfF	765	766	1336	28.2358
seqA	546	547	3279	97.0457
pgm	1641	1642	9315	91.84
ybfP	495	496	149	4.86325
potE	1320	1321	624	7.64722
speF	2199	2200	1114	8.19756
speFL	105	106	0	0
kdpE	678	679	485	11.5636
kdpD	2685	2686	2531	15.2549
kdpC	573	574	260	7.33303
kdpB	2049	2050	377	2.97721
kdpA	1674	1675	77	0.744214
kdpF	90	91	0	0
ybfA	207	208	8416	655.035
rhsC	4194	4195	7678.03	29.6305
ybfB	327	328	60	2.96142
ybfC	570	571	102	2.89192
ybfQ	255	256	40.0143	2.53045
ybfD	762	763	98.8389	2.09713
ybgA	510	511	776	24.5846
phr	1419	1420	848	9.66784
dtpD	1482	1483	833	9.09339
ybgI	744	745	2869	62.3442
pxpB	657	658	2319	57.0554
pxpC	933	934	3066	53.1432
pxpA	735	736	1795	39.4829
nei	792	793	561	11.4528
abrB	1047	1048	468	7.22947
ybgO	1062	1063	372	5.66541
ybgP	729	730	83	1.84068
ybgQ	2448	2449	664	4.38936
ybgD	567	568	32	0.912061
gltA	1284	1285	18640	234.836
ybgV	33	34	105	49.9957
ybgU	108	109	33	4.90128
sdhC	390	391	2619	108.438
sdhD	348	349	1452	67.354
sdhA	1767	1768	7779	71.2301
sdhB	717	718	3057	68.9276
sucA	2802	2803	33097	191.156
sucB	1218	1219	13377	177.655
sucC	1167	1168	11049	153.145
sucD	870	871	6746	125.386
sdhX	101	102	1	0.158716
mngR	723	724	258	5.76903
mngA	1977	1978	78	0.638396
mngB	2634	2635	880	5.4066
cydA	1569	1570	16648	171.666
cydB	1140	1141	10481	148.71
cydX	114	115	50	7.03873
ybgE	294	295	704	38.6343
ybgC	405	406	2863	114.161
tolQ	693	694	5484	127.926
tolR	429	430	1266	47.6636
tolA	1266	1267	4619	59.0192
tolB	1293	1294	25480	318.777
pal	522	523	24787	767.263
cpoB	792	793	9989	203.925
lysT	76	77	74110.9	15581.7
valT	76	77	52376.2	11012
lysW	76	77	74110.9	15581.7
valZ	76	77	52376.2	11012
lysY	76	77	74110.9	15581.7
lysZ	76	77	74110.9	15581.7
lysQ	76	77	74110.9	15581.7
nadA	1044	1045	1330	20.6043
pnuC	720	721	925	20.7696
zitB	942	943	755	12.9616
ybgS	381	382	3414	144.685
aroG	1053	1054	5590	85.8605
gpmA	753	754	16539	355.108
galM	1041	1042	4487	69.7125
galK	1149	1150	3461	48.7221
galT	1047	1048	1428	22.0592
galE	1017	1018	3603	57.2979
modF	1473	1474	999	10.9721
modE	789	790	1197	24.5295
acrZ	150	151	290	31.0916
modA	774	775	1455	30.3937
modB	690	691	455	10.66
modC	1059	1060	1222	18.6633
ybhA	819	820	1748	34.5104
pgl	996	997	4000	64.9512
ybhD	954	955	101	1.71214
ybhH	1053	1054	220	3.37912
ybhI	1434	1435	166	1.87274
ybhJ	2262	2263	846	6.05212
ybhC	1284	1285	3908	49.2349
ybhB	477	478	2107	71.3606
bioA	1290	1291	288	3.61151
bioB	1041	1042	294	4.56774
bioF	1155	1156	221	3.09497
bioC	756	757	1760	37.6391
bioD	678	679	812	19.3601
uvrB	2022	2023	5209	41.6851
ybhK	909	910	1545	27.4858
moaA	990	991	4596	75.0807
moaB	513	514	3889	122.489
moaC	486	487	2051	68.1803
moaD	246	247	942	61.7413
moaE	453	454	1990	70.9609
ybhL	705	706	15551	356.595
ybhM	714	715	243	5.50202
ybhN	957	958	223	3.76844
clsB	1242	1243	495	6.44698
ybhP	762	763	579	12.285
ybhQ	411	412	1409	55.3651
ybhR	1107	1108	698	10.1985
ybhS	1134	1135	688	9.81329
ybhF	1737	1738	1997	18.6016
ybhG	999	1000	2081	33.6895
cecR	672	673	1204	28.9623
rhlE	1365	1366	3260	38.6357
ybiA	483	484	185	6.18797
dinG	2151	2152	1783	13.4132
ybiB	963	964	1982	33.285
hcxB	1086	1087	1548	23.0549
ybiE	60	61	700	185.776
ybiJ	261	262	1612	99.6061
ybiI	267	268	149	9.00064
ybiX	678	679	349	8.32104
fiu	2283	2284	1727	12.241
mcbA	261	262	323	19.9583
rlmF	927	928	1866	32.5526
ybiO	2226	2227	901	6.54978
glnQ	723	724	3264	72.985
glnP	660	661	2790	68.3321
glnH	747	748	8423	182.3
dps	504	505	16163	518.147
rhtA	888	889	188	3.42356
yliM	66	67	43812	10586.2
ompX	516	517	231536	7250.2
opgE	1584	1585	1980	20.2236
rybA	340	341	1028	48.8046
mntS	129	130	0	0
mntR	468	469	1431	49.3957
ybiR	1119	1120	1947	28.143
ldtB	921	922	11669	204.892
ybiT	1593	1594	4536.58	46.0747
ybiU	1266	1267	1190	15.2052
ybiV	816	817	1463	28.9897
ybiW	2433	2434	574	3.8178
ybiY	900	901	105	1.88663
fsaA	663	664	348	8.48464
moeB	750	751	1275	27.4848
moeA	1236	1237	2523	33.0194
iaaA	966	967	3717	62.2283
gsiA	1872	1873	4835	41.7908
gsiB	1539	1540	3525	37.0562
gsiC	921	922	783	13.7484
gsiD	912	913	625	11.0823
pdeI	2349	2350	150	1.03335
dgcI	1329	1330	157	1.91104
rimO	1326	1327	1846	22.5207
bssR	384	385	1597	67.1531
yliI	1116	1117	717	10.3917
gstB	627	628	4999	128.868
dacC	1203	1204	23726	319.022
deoR	759	760	16050	341.888
ybjG	597	598	89800	2431.07
mdfA	1233	1234	4639	60.8599
ybjH	285	286	694	39.284
ybjI	816	817	1009	19.9936
ybjJ	1209	1210	683	9.13813
rcdA	537	538	232	6.98116
rybB	79	80	38	7.68981
ybjL	1686	1687	4307	41.3316
ybjM	378	379	156	6.66358
grxA	258	259	90	5.62555
ybjC	288	289	492	27.5606
