gene,length,low-mg1,low-mg2,ns1,ns2
aceF,1893,96.3481,83.1173,787.193,730.696
lpd,1425,426.116,357.424,1790.73,1153.48
yacH,1854,5.36727,4.92465,3.75429,3.91349
acnB,2598,635.778,432.921,1353.45,602.851
yacL,363,23.3496,24.2122,27.0064,31.048
speD,795,49.0553,39.7341,356.625,248.044
speE,867,94.057,76.2997,461.122,339.136
yacC,348,59.0971,49.2932,83.421,89.4517
cueO,1551,27.7467,20.6814,51.2227,115.876
gcd,2391,136.578,108.849,118.434,32.606
hpt,537,38.5168,45.0748,59.7229,54.3696
can,663,182.078,146.321,531.57,450.096
yadG,927,34.6984,25.527,48.7659,64.1295
yadH,771,26.9468,21.6048,31.9154,46.3977
yadI,441,11.1712,11.052,13.5946,20.8161
yadE,1230,35.0347,38.9508,6.24965,7.5822
panD,381,222.24,193.602,458.8,407.02
rpnC,903,10.3331,9.10804,5.45104,6.70675
panC,852,138.281,109.759,158.837,182.744
panB,795,173.748,122.831,244.119,247.677
yadC,1239,2.5067,2.55216,0.831293,1.6727
yadK,597,1.38067,0.907656,0.294299,0.266806
yadL,606,2.74708,2.28854,0.786968,1.09521
yadM,570,1.02068,1.67559,1.01271,0.884837
htrE,2598,1.25825,1.34862,0.280533,0.532038
yadV,741,1.44,1.30183,0.406602,0.573406
yadN,585,0.663034,0.910544,0.386133,0.589918
folK,480,17.8383,15.8937,48.6628,43.7851
pcnB,1398,130.797,122.541,317.819,286.844
gluQ,927,32.9538,32.9026,22.8658,24.7578
dksA,456,536.507,429.645,374.648,489.415
sfsA,705,78.1937,63.7459,26.1387,40.1889
thpR,531,13.1764,14.6295,14.2248,18.4442
hrpB,2430,25.5988,28.7455,17.5195,22.9054
mrcB,2535,50.7377,56.9753,47.537,56.2137
fhuA,2244,55.8217,45.2974,243.263,363.412
fhuC,798,13.8995,12.3775,59.2825,88.0288
fhuD,891,10.1272,9.79781,50.9032,75.0649
fhuB,1983,30.4932,26.8848,30.4132,48.6263
hemL,1281,734.974,556.614,158.792,164.715
yadX,48,52.8623,52.9448,28.2201,40.1589
clcA,1422,47.623,56.5102,6.89052,9.8294
yadW,66,0,0.274616,0.375247,0
erpA,345,218.412,216.191,124.836,59.3318
yadS,624,19.7895,21.5787,7.20054,9.14754
btuF,801,21.5989,19.1908,31.1605,34.1846
mtn,699,141.354,103.838,260.826,233.893
dgt,1518,18.6617,13.1847,17.8258,25.1562
degP,1425,458.562,337.096,186.34,188.902
cdaR,1158,6.11805,5.25466,3.92633,25.5592
yaeH,387,64.1304,45.4291,38.8139,67.6443
yaeI,813,7.31889,6.27248,6.79501,8.52633
dapD,825,131.629,94.4243,474.95,583.665
glnD,2673,38.2568,23.3328,59.4221,58.3545
map,795,121.804,97.2665,376.018,398.307
tff,136,879.764,921.776,1322.23,1145.97
rpsB,726,2556.45,2817.34,3064.33,2827.79
tsf,852,540.028,488.152,1874.03,1641.64
pyrH,726,152.605,142.322,602.325,452.534
frr,558,412.228,346.706,926.549,839.279
dxr,1197,24.8647,25.3489,59.5171,62.1953
uppS,762,207.976,217.909,188.941,208.586
cdsA,858,72.3137,104.12,39.366,53.5549
rseP,1353,165.896,185.97,115.328,133.724
bamA,2433,278.101,246.564,444.068,426.953
skp,486,546.872,430.21,998.538,975.047
lpxD,1026,396.955,386.949,647.536,623.856
fabZ,456,233.859,221.536,381.73,365.534
lpxA,789,585.245,562.645,523.167,480.3
lpxB,1149,105.623,122.483,59.3122,71.8901
rnhB,597,57.0408,68.228,49.3161,61.8991
dnaE,3483,46.8294,48.1106,79.0833,78.1722
accA,960,130.069,116.407,301.175,294.473
ldcC,2142,12.4119,10.2557,10.4884,14.7042
yaeR,390,28.1549,23.3167,40.3808,36.8611
tilS,1299,28.692,28.625,37.2869,39.683
rof,255,73.167,54.515,69.2375,98.5762
yaeP,201,57.1426,44.814,42.8153,70.9551
yaeQ,546,26.1038,19.5765,27.2099,30.2377
arfB,423,32.7218,28.4451,31.7827,33.1769
nlpE,711,40.0179,38.1164,22.352,26.2929
yaeF,825,11.9752,11.3603,4.07865,5.56945
proS,1719,125.079,101.41,473.831,395.66
trmO,708,26.1674,27.2096,56.0277,59.4094
rcsF,405,71.2957,56.1721,111.465,123.068
metQ,816,85.6416,61.8413,346.166,333.584
metI,654,25.5565,25.7871,56.8468,51.5595
metN,1032,32.5349,33.1383,64.6914,46.336
gmhB,576,81.254,65.4975,107.189,129.041
rrsH,1542,123.966,264.769,237.304,215.233
ileV,77,1397.93,1838.04,157.941,171.823
alaV,76,1329.58,1913.78,100.118,117.871
rrlH,2904,198.292,301.266,282.772,212.319
rrfH,120,2.0589,3.46646,0.863092,0.470055
aspU,77,751.132,985.933,328.129,362.17
dkgB,804,51.9659,33.9301,16.3654,18.2343
yafC,915,10.3568,7.55254,10.8691,16.8085
yafD,801,54.0376,46.7323,67.8697,87.169
yafE,624,12.2778,13.3358,11.7059,17.8696
mltD,1359,530.085,588.289,197.509,230.253
gloB,756,17.0659,13.5989,32.0165,40.7833
yafS,723,13.3269,12.6177,16.6337,22.8453
rnhA,468,18.1911,18.007,22.622,29.4266
dnaQ,732,58.7268,55.9006,61.842,66.8239
aspV,77,751.132,985.933,328.129,362.17
yafT,786,2.20106,2.12749,3.51407,3.37887
ykfM,480,0.538514,0.478151,0.993117,0.995115
yafV,771,24.9127,21.1163,19.3772,30.484
ivy,474,171.911,131.138,71.5608,98.2493
fadE,2445,13.2306,11.6857,8.3257,5.82712
gmhA,579,201.47,142.547,295.283,328.132
yafJ,768,57.8723,46.1776,80.0672,104.845
ldtF,741,67.9417,65.6993,72.2735,84.8999
yafQ,279,48.0469,46.5567,36.994,35.6139
dinJ,261,168.935,185.151,58.9195,83.0229
yafL,750,3.10416,3.41771,1.97517,2.44318
rayT,498,4.83401,5.42022,9.47217,11.031
dinB,1056,13.6926,12.7507,14.6996,13.7109
yafN,294,10.372,7.45326,11.5055,12.8001
yafO,399,3.60207,3.28887,3.2684,4.38763
yafP,453,3.81549,4.57955,3.43343,4.62719
pepD,1458,95.8029,63.7795,292.91,333.663
gpt,459,135.636,132.895,260.98,240.886
frsA,1245,43.7079,35.6836,46.1265,58.284
insB9,504,55.1127,51.9401,59.0524,46.0303
insA9,276,19.3817,21.0063,13.9644,17.2585
phoE,1056,11.0888,10.5052,1.4985,3.87429
proB,1104,72.1989,67.4529,145.389,201.399
proA,1254,57.9582,55.9455,95.4978,133.933
thrW,76,222.867,237.799,138.607,168.91
ykfI,342,87.4588,80.8387,15.6127,19.5368
yafW,318,18.0161,23.821,2.75848,4.75149
ykfH,222,8.05824,8.95211,1.91662,1.07321
ykfG,477,16.3245,19.4963,3.31364,3.83855
yafX,459,32.2374,39.3584,10.1659,10.1742
ykfF,240,45.7459,51.2278,16.2742,17.1025
ykfB,468,33.6208,29.07,111.931,161.591
yafY,444,6.22097,5.85055,4.97181,7.7086
yafZ,822,4.4456,5.40461,2.39581,3.90959
ykfA,864,17.8548,17.8569,5.9584,7.96214
perR,894,9.82197,7.91477,5.59013,7.69525
insI1,1152,10.8963,9.35022,28.7115,33.149
eyeA,75,24.4966,25.5411,21.1718,31.8401
ykfC,1146,70.3879,71.616,61.4839,72.5881
insH1,981,177.589,179.409,106.721,133.379
mmuP,1404,5.1275,4.53761,3.07783,2.80112
mmuM,933,8.87452,9.17008,5.24904,5.52333
afuC,1047,8.3108,10.8851,3.14269,4.1613
insB2,504,10.1991,9.73907,4.65362,6.35728
insA2,276,20.5286,22.155,20.9194,24.8593
yagB,351,19.0866,16.5698,20.4275,21.7568
yagA,1155,0.966303,0.923146,0.543719,1.26518
yagE,909,1.13857,1.37489,3.42588,6.80864
yagF,1968,3.69989,3.635,5.22239,8.29218
yagG,1383,4.00048,4.04146,2.36156,2.99733
yagH,1611,10.2538,10.3467,5.11565,6.89536
xynR,759,43.7318,52.4984,24.8438,29.6008
argF,1005,5.51197,14.1378,14.1203,12.1857
argL,96,1.16828,1.04326,2.8511,2.19313
ykgS,129,0.249063,0.866123,0.386793,1.02276
insB3,504,10.1991,9.73907,4.65362,6.35728
insA3,276,20.5286,22.155,20.9194,24.8593
yagJ,732,8.83442,8.81056,4.18454,7.03791
yagK,627,8.89368,11.0015,3.20275,4.61544
yagL,699,2.84465,2.40505,1.0775,1.67148
yagM,855,0.586287,1.0532300000000001,0.352452,0.807692
ykgV,225,4.29798,3.8671,2.33616,2.11792
yagN,441,74.6089,53.9073,88.7349,101.554
intF,1401,16.6625,15.9189,18.8472,26.99
yagP,411,20.8258,26.8397,3.35628,6.06704
paoD,957,16.2905,18.3128,2.41443,3.24763
paoC,2199,2.6712,2.37518,1.89704,2.38117
paoB,957,2.36584,2.63121,1.54838,1.97078
paoA,690,3.58456,3.1553,1.56453,1.92415
yagU,615,32.93,27.7482,87.9138,76.4079
ykgJ,330,22.5473,20.9007,8.88689,10.1225
ecpE,711,8.68571,7.45532,4.44921,5.75157
ecpD,1644,6.45595,5.40234,4.50867,6.04577
ecpC,2526,4.84968,4.39048,1.85055,2.1467
ecpB,669,11.0424,8.10117,1.72614,1.8257
ecpA,588,61.1007,42.4214,12.4214,14.9437
ecpR,591,7.65699,9.79015,0.509626,0.359347
ykgL,228,5.58488,4.86094,1.20767,2.2063
ykgO,141,0.912061,2.00837,0,0.187265
ykgM,264,0.977454,1.14561,3.13083,2.10727
ykgR,102,0.471526,0.26795,1.22046,2.83989
insE1,300,17.5767,17.6046,16.3879,20.6019
insF1,867,19.0613,20.1035,7.69888,10.3977
rclC,594,2.5576,1.59254,0.845094,1.47483
rclB,237,0.816256,1.54616,1.47891,1.1173
rclA,1326,3.64773,2.63441,1.38307,1.543
rclR,855,1.55082,1.47237,1.05736,1.49112
ykgE,720,2.60462,2.9347,2.85937,3.43
ykgF,1428,5.44923,4.93136,4.15214,4.89406
ykgG,696,7.96679,7.32539,4.43674,5.7609
ykgH,669,1.20814,1.46919,0.938118,0.674715
betA,1671,12.8389,13.4363,26.0438,18.1943
betB,1473,27.7982,27.8361,47.6052,27.2772
betI,588,72.1774,73.925,80.6322,45.8695
betT,2034,23.0386,24.9181,15.3938,10.7151
yahV,75,0.426028,2.42096,0.66162,0.349891
pdeL,1089,18.9219,21.1254,5.21284,4.928
yahB,933,10.9198,10.1354,6.21809,6.83298
yahC,498,1.45994,1.58551,0.65499,0.21316
yahD,606,0.906802,1.04576,2.85794,2.75993
yahE,864,0.692481,0.446687,0.319719,0.860772
yahF,1548,1.49454,1.5204,1.11993,1.13302
yahG,1419,3.30622,3.11621,2.23087,2.26591
yahH,321,1831.13,1618.31,5393.25,5757.6
yahI,951,2.27871,2.34823,1.34687,2.03907
yahJ,1383,10.937,8.86727,18.0569,22.9219
yahK,1050,38.1699,22.4432,21.5055,25.276
yahL,816,0.990763,0.776958,0.092319,0.130192
yahM,246,17.2378,14.6747,11.1966,12.7037
yahN,672,2.86256,3.17134,1.27015,2.84488
yahO,276,133.837,81.9664,31.0412,32.3516
prpR,1587,3.38462,2.3926,1.4724,0.854015
prpB,891,6.33407,8.94179,0.873754,1.07321
prpC,1170,1.41015,1.81479,0.837336,1.02188
prpD,1452,1.41501,1.44991,1.24583,1.66541
prpE,1887,2.51239,2.4802,1.1319,1.76057
codB,1260,50.8396,65.5136,624.631,382.68
codA,1284,30.6018,33.1044,536.386,306.725
cynR,900,8.96598,9.07711,10.3524,13.8714
cynT,660,6.49032,5.6645200000000004,5.32499,6.47695
cynS,471,5.69362,3.68375,6.01906,6.42257
cynX,1155,3.58512,3.9552,2.5881,2.53035
lacA,612,3.11633,2.67134,1.43549,2.51602
lacY,1254,4.39878,4.83072,1.26209,1.54677
lacZ,3075,1.7368,2.00083,3.68623,4.59044
lacI,1083,29.8691,23.1434,33.9782,32.0376
mhpR,834,13.1451,12.4388,16.0786,4.3311
mhpA,1665,1.55477,1.47989,1.07146,0.494803
mhpB,945,1.43751,1.2156,1.2491,0.871398
mhpC,867,3.80481,2.71326,3.18614,4.19708
mhpD,810,1.61691,1.59944,2.82106,2.85262
mhpF,951,2.61882,2.50284,5.22902,4.52506
mhpE,1014,2.13728,2.1209,3.7155,4.1656
mhpT,1212,5.49868,5.19518,2.88102,4.53791
yaiL,540,36.0588,31.1189,37.9215,45.663
frmB,834,26.9107,29.6922,21.7994,26.4962
frmA,1110,138.489,143.501,77.5292,90.1628
frmR,276,105.434,114.613,49.6478,63.4553
yaiO,774,4.55383,4.35647,1.62204,1.92146
insC1,366,18.6226,16.0471,19.467,25.215
insD1,906,14.8444,15.3784,9.78035,19.3647
yaiP,1197,3.74322,3.55545,1.42707,1.46498
ykiC,120,0.133794,0.07603,0.207781,0
yaiS,558,0.202725,0.345603,0.314832,0.665982
tauA,963,1.47784,1.80366,0.678092,2.92398
tauB,768,1.5368,1.61502,0.980815,1.55608
tauC,828,0.99595,1.29838,0.758189,1.3793
tauD,852,5.44697,5.13367,3.41902,7.35714
hemB,975,96.0563,77.5936,190.751,196.032
ytiB,57,63.6398,68.3628,30.7767,29.3426
insF2,867,19.0613,20.1035,7.69888,10.3977
insE2,300,17.5767,17.6046,16.3879,20.6019
iprA,624,2.30532,2.23735,0.241359,0.893481
ampH,1158,55.2999,47.0459,44.0357,45.6808
sbmA,1221,23.237,18.4444,19.422,23.4799
yaiW,1095,27.0901,25.4081,21.2648,27.1012
yaiY,309,19.1136,16.2329,18.4912,17.7564
yaiZ,213,31.9242,35.7668,13.7456,20.7515
ddlA,1095,67.5333,52.6293,143.968,153.8
iraP,261,51.5332,44.4883,26.2931,33.3919
phoA,1416,149.506,109.753,11.4086,12.9487
psiF,321,96.7825,69.1687,18.8952,20.5631
dgcC,1116,4.92774,4.35685,2.7685,2.88057
proC,810,45.1138,33.8265,80.1368,79.8734
yaiI,459,24.3892,25.239,34.597,43.9341
aroL,525,50.537,55.3377,93.0142,90.2399
yaiA,192,121.46,96.9536,97.9609,94.7932
aroM,678,24.1048,22.491,20.5872,26.3176
ppnP,285,97.0212,77.7144,92.1271,182.609
ykiD,84,40.5679,41.6689,14.4934,17.2064
rdgC,912,44.418,38.0077,59.0124,56.9988
mak,909,9.23311,7.572,11.4933,18.2343
araJ,1185,15.0561,11.3483,10.5781,13.3407
sbcC,3147,11.0053,9.19671,21.5716,19.6566
sbcD,1203,20.317,15.5951,34.6427,31.5832
phoB,690,120.914,99.585,9.82376,11.3525
phoR,1296,56.0689,51.1619,6.57131,6.97084
brnQ,1320,75.5163,65.1008,168.683,163.898
proY,1374,30.6238,31.4126,55.732,55.4074
malZ,1815,11.1077,9.78221,13.5953,18.1573
acpH,582,17.4387,17.0106,18.4573,19.3394
queA,1071,31.5173,34.0609,70.3354,72.0605
tgt,1128,91.3557,71.2095,276.557,224.063
yajC,333,277.686,207.956,811.003,771.955
secD,1848,93.6059,100.723,213.343,208.261
secF,972,93.9066,104.723,221.494,206.967
yajD,348,56.7777,40.1726,69.3734,90.0613
tsx,885,81.5118,94.3845,378.627,349.624
yajI,540,12.3588,13.6209,11.9899,12.5831
nrdR,450,139.061,109.07,128.607,152.593
ribD,1104,95.1126,80.016,103.092,122.611
ribE,471,159.215,151.696,241.881,256.17
nusB,420,133.089,122.502,299.967,262.001
thiL,978,26.9873,26.0296,48.357,57.0947
pgpA,519,33.9971,34.2156,36.7937,48.223
yajO,975,31.4824,24.2244,30.7057,39.0974
dxs,1863,60.0142,55.4396,111.033,116.053
ispA,900,59.8151,58.6898,121.913,124.075
xseB,243,90.964,89.4702,166.408,167.179
thiI,1449,41.3212,36.1323,152.375,104.038
yajL,591,38.4764,28.3603,67.9501,84.3568
panE,912,30.6936,26.4704,67.0533,83.2119
yajQ,492,81.9633,77.4971,97.8634,122.98
yajR,1365,15.5017,16.8772,19.2335,14.3471
cyoE,891,259.007,199.453,1084.05,653.315
cyoD,330,160.423,109.089,936.01,494.638
cyoC,615,212.403,142.355,1309.56,631.207
cyoB,1992,310.468,215.677,1782.51,826.357
cyoA,948,365.167,296.724,1716.09,843.817
ampG,1476,27.38,28.7325,70.2159,76.1923
yajG,579,206.159,146.131,393.942,408.549
bolA,318,233.295,155.154,82.5967,140.127
tig,1299,433.344,394.02,1228.4,1023.8
clpP,624,287.414,219.157,412.965,524.218
clpX,1275,322.259,257.777,402.757,544.505
lon,2355,77.757,65.6391,124.459,169.155
hupB,273,726.145,628.617,1655.58,2204
ppiD,1872,99.9868,94.0641,148.728,175.536
ybaV,372,7.89923,9.10098,5.93152,7.84205
fadM,399,9.43014,7.65869,5.594,6.84736
queC,696,27.1057,21.897,32.8247,39.6396
ybaE,1701,3.76667,4.0647,4.96331,9.34303
cof,819,53.187,47.2098,15.8514,22.7975
decR,459,28.6828,26.6189,19.676,23.6435
mdlA,1773,15.4864,15.4537,8.80096,11.5421
mdlB,1782,12.1395,12.5947,7.86819,11.5434
glnK,339,2.71405,1.9211,128.74,41.2953
amtB,1287,5.89493,6.47831,64.5131,29.2137
tesB,861,32.2467,23.8956,45.1498,44.1138
ybaY,573,197.766,133.122,117.999,102.058
ybaZ,390,17.4726,19.858,14.5319,19.0426
ffs,114,15.9075,15.4394,6.12142,9.71175
ybaA,354,14.2737,14.6935,3.47024,3.52059
pdeB,1551,10.671,10.6993,8.32652,9.13233
ylaC,471,153.556,121.038,166.882,91.0991
maa,552,28.6017,30.427,23.8231,36.8821
hha,219,121.86,102.66,123.765,183.483
tomB,375,61.7854,59.4061,36.9768,50.8495
acrB,3150,94.0672,76.3298,197.797,194.345
acrA,1194,100.63,88.6552,129.453,141.192
acrR,648,53.0323,43.8577,52.1813,64.574
mscK,3363,45.4488,49.6791,26.5018,30.1647
ybaM,162,15.3945,12.8682,14.0361,13.5406
priC,528,27.3286,23.1991,29.2288,33.1768
ybaN,378,47.2003,37.2112,110.318,144.605
apt,552,101.936,95.3734,282.649,283.997
dnaX,1932,54.7062,52.5564,89.5757,97.9339
ybaB,330,155.826,127.516,441.155,435.349
recR,606,82.6523,71.6268,222.008,220.006
htpG,1875,66.4218,44.6839,81.8977,149.118
adk,645,166.151,134.847,706.61,583.288
hemH,963,15.1479,15.794,19.0909,23.1988
aes,960,5.44128,5.18855,3.50569,5.42349
gsk,1305,24.3952,25.8731,61.9683,62.7124
ybaL,1677,35.0988,33.8435,54.6731,68.1115
fsr,1221,16.9575,14.1683,12.8382,20.3028
ushA,1653,29.5593,21.0913,29.9905,43.7621
ybaK,480,48.2643,36.9898,30.1071,37.0957
chiX,84,5.90425,3.46339,0.591566,1.87706
ybaP,795,121.804,103.346,36.5121,40.7227
ybaQ,342,90.1963,71.21,82.3881,94.8928
copA,2505,170.031,106.787,199.587,449.905
glsA,933,61.255,38.1873,6.56803,8.11417
ybaT,1293,35.1305,24.6698,4.87676,8.22
cueR,408,60.5606,46.7854,42.8451,60.3352
ybbJ,459,29.4571,25.059,16.2327,27.3432
qmcA,918,31.0746,22.904,25.6887,32.9575
fetA,678,36.7652,25.8782,21.3648,27.9624
fetB,780,10.5716,8.9876,5.47255,9.22708
cnoX,855,56.8509,43.4726,106.998,144.919
ybbO,810,19.2832,15.0643,43.525,62.0691
tesA,627,28.6144,23.336,41.4756,71.3487
ybbA,687,18.801,18.4394,12.3881,26.0506
ybbP,2415,7.67239,7.77932,6.31661,12.4814
rhsD,4281,4.38942,4.6995,2.25464,4.8501
ybbC,369,1.13761,1.36751,0.271801,1.00617
ylbG,372,15.1908,14.8477,10.3128,16.7535
selU,1095,16.4845,14.7144,16.631,19.2887
allS,927,1.86663,1.36805,1.54425,1.2035
allA,483,6.22142,6.50057,3.3245,5.49415
allR,816,67.1936,68.6651,104.874,131.006
gcl,1782,1.38919,0.980331,1.48057,1.93882
hyi,777,0.499406,0.579411,0.581681,0.478514
glxR,879,1.6373,1.74584,0.857098,0.876317
ybbW,1455,0.411398,0.315921,0.172676,0.273953
allB,1362,3.43261,3.76625,1.01452,1.98999
ybbY,1302,3.54097,3.09949,1.38925,1.30612
glxK,1146,4.0508,3.84989,2.12618,2.57339
allE,786,8.98936,6.81497,8.40182,12.9411
allC,1236,2.74835,2.29061,2.70317,4.83681
allD,1050,1.12446,1.18168,0.574117,0.834944
fdrA,1668,0.785689,0.72208,0.451915,0.35052
ylbE,1260,2.18251,2.29079,1.33583,1.81355
ylbF,816,2.99211,3.23169,2.12334,2.76658
ybcF,894,7.03637,8.50066,12.6129,9.1214
purK,1068,64.2263,87.0996,349.159,191.465
purE,510,110.821,155.998,493.237,304.165
lpxH,723,35.7322,30.496,90.9819,91.6752
ppiB,495,222.665,171.399,499.587,517.734
cysS,1386,63.379,52.9095,149.943,134.396
ybcI,522,6.50039,7.8276,3.65346,5.28783
ybcJ,213,26.6288,33.4454,31.6032,31.3136
folD,867,131.452,113.586,358.875,280.836
sfmA,543,1.01182,0.524244,0.508377,0.635463
sfmC,693,1.58625,1.20629,0.289816,0.229899
sfmD,2604,2.95816,3.03005,0.45361,0.837051
sfmH,984,0.838216,0.728499,0.255244,0.188976
sfmF,516,7.13948,6.1924,0.486297,1.02869
fimZ,633,1.50655,1.40751,0.317244,0.545256
argU,77,52.3033,46.5879,22.8853,26.5917
intD,1164,27.8897,23.8164,20.5449,28.509
insE3,300,17.5767,17.6046,16.3879,20.6019
insF3,867,19.0613,20.1035,7.69888,10.3977
emrE,333,26.2224,25.5056,21.6037,26.5121
ylcJ,150,0.964912,0.365548,0,0.176104
ybcK,1527,0.699266,0.812795,0.510071,0.365462
ybcL,552,3.65937,3.60998,2.54598,1.7311
ybcM,798,11.8126,9.08449,4.15355,5.22515
ylcH,102,7.23007,9.82485,1.46456,1.8072
ybcN,456,2.47973,1.89227,0.440115,1.04738
ninE,171,0.188245,0.481376,0,0
ybcO,291,0.665304,1.03968,0.602708,0.455337
rusA,363,0.756083,0.808759,0.0690702,0.146108
ylcG,141,0.228015,0.388717,0,0
